N_opt,avg_expH,std_expH,avg_expH_enhanced,std_expH_enhanced,avg_expH_enhanced_SDPvalue,std_expH_enhanced_SDPvalue,N,N_meas,Initial_state
6,-3.945859298177405,0.022013587908275158,-3.9623876221946492,0.017262980988075497,-4.317078990265491,0.006797981891861274,4,4000,HF
7,-3.9190833890738452,0.02542376566426228,-3.9469391416445436,0.0189744906059485,-4.328169053895598,0.008413423825875527,4,4000,HF
8,-3.9303062386921126,0.021566119756395837,-3.973902912960473,0.015371943149865262,-4.34986038135684,0.0061782979033274685,4,4000,HF
9,-3.9209237541732382,0.020866636719378766,-4.015124098087279,0.014080706803210738,-4.35603979264901,0.004887846018782238,4,4000,HF
10,-3.9574314951723175,0.0275162613304712,-4.010015679552612,0.016678500813552884,-4.355955060874276,0.005758572318160562,4,4000,HF
1,-3.0023840316318218,0.013603084820723876,-3.0201912673975397,0.01585458970378089,-3.3858112857501403,0.007790211615805669,4,8000,HF
2,-3.6775884872718927,0.03654737928967171,-3.673647921922826,0.021358061555624433,-3.972028056941346,0.017447002689514535,4,8000,HF
3,-3.808020365400526,0.022846363965972855,-3.7274518530402942,0.01908370911781359,-4.025993169807443,0.015475713083208062,4,8000,HF
4,-3.9437091133165256,0.014591116481558341,-3.881450974842949,0.018890230022972222,-4.170266943319519,0.01183769987659582,4,8000,HF
5,-3.9893098870858354,0.015619909332357221,-3.9743520538946875,0.011854729509023191,-4.260409513160815,0.00640896146554547,4,8000,HF
6,-3.979178325324837,0.018861833395793826,-4.015565968909861,0.013591387391887717,-4.277004887913822,0.008092847382460917,4,8000,HF
7,-4.017675073328035,0.017756563765186736,-4.019078986834005,0.01690381541280201,-4.299455760169415,0.007650231741815031,4,8000,HF
8,-4.03098896833957,0.019633235732874184,-4.049868706580552,0.01293911747008478,-4.312136418232844,0.006109693620692016,4,8000,HF
9,-4.032245222891543,0.019274419880720598,-4.060863167131648,0.01406964379581562,-4.331272438934265,0.005359903179112612,4,8000,HF
10,-4.049566168307889,0.01307003865289691,-4.088308912194659,0.014454512233064565,-4.339815801073127,0.003941510438734661,4,8000,HF
1,-2.9956029848247696,0.006979393958909483,-2.991801648686279,0.007462172162129316,-3.391336800775043,0.030171763984094803,4,16000,HF
2,-3.9133382619243315,0.010646730339103365,-3.889541745128925,0.009866517456695732,-4.084964100028975,0.006592210491439686,4,16000,HF
3,-3.9207231799631312,0.010349551983433757,-3.892744575131477,0.009692378679639886,-4.152410448035765,0.005860270051445389,4,16000,HF
4,-4.007696580056888,0.010630983977540115,-3.979630010669914,0.009713310293413073,-4.214659164140919,0.006426781572027122,4,16000,HF
5,-4.038977927476579,0.006548348711764222,-4.0079189492478635,0.009914169009299773,-4.2570410414499,0.006712920545934908,4,16000,HF
6,-4.047827551993752,0.0075363410227342175,-4.038856327251364,0.010599991099798025,-4.262934189282359,0.005091439371072046,4,16000,HF
7,-4.034301043944794,0.013126194695835092,-4.060956266569135,0.012495170957985819,-4.286298228260731,0.007089492478303416,4,16000,HF
8,-4.062379887311003,0.012260938235819138,-4.066899122591245,0.009265011459665441,-4.2850926113459495,0.004293841382061284,4,16000,HF
9,-4.063988506040661,0.012085677849044902,-4.083926440464645,0.010611909579039434,-4.294808798814338,0.0045088138917328035,4,16000,HF
